Orthogroup	Acinetobacter_baumannii	Mycobacterium_tuberculosis
OG0000094		g1166.t1, g1982.t1, g3058.t1, g3106.t1, g874.t1
OG0000095		g1026.t1, g1186.t1, g1772.t1, g1773.t1, g2316.t1
OG0000096		g1059.t1, g1473.t1, g2221.t1, g3467.t1, g3505.t1
OG0000097		g1062.t1, g2276.t1, g2353.t1, g3034.t1, g3436.t1
OG0000098		g1189.t1, g1882.t1, g2423.t1, g3290.t1, g3425.t1
OG0000099		g1227.t1, g1839.t1, g2013.t1, g2296.t1, g2781.t1
OG0000100		g1249.t1, g1548.t1, g1851.t1, g3130.t1, g3497.t1
OG0000101		g1251.t1, g2332.t1, g2838.t1, g3127.t1, g3330.t1
OG0000102		g1506.t1, g1508.t1, g1510.t1, g1511.t1, g2905.t1
OG0000103		g1684.t1, g2279.t1, g2609.t1, g2620.t1, g2843.t1
OG0000104		g1739.t1, g1960.t1, g2270.t1, g3403.t1, g3404.t1
OG0000105		g1981.t1, g3327.t1, g3331.t1, g3356.t1, g3357.t1
OG0000106	g236.t1, g354.t1, g38.t1, g59.t1	
OG0000107	g113.t1, g53.t1, g93.t1	g887.t1
OG0000108	g254.t1, g424.t1, g477.t1, g55.t1	
OG0000109	g267.t1, g327.t1, g64.t1	g2460.t1
OG0000110	g391.t1, g75.t1	g1526.t1, g2417.t1
OG0000111	g164.t1, g303.t1, g81.t1	g347.t1
OG0000112	g115.t1, g453.t1	g1339.t1, g1474.t1
OG0000113	g121.t1, g230.t1, g259.t1	g1614.t1
OG0000114	g144.t1	g1821.t1, g1822.t1, g2335.t1
OG0000115	g196.t1, g365.t1	g119.t1, g674.t1
OG0000116	g244.t1	g1895.t1, g1896.t1, g462.t1
OG0000117	g246.t1	g16.t1, g2134.t1, g2814.t1
OG0000118	g290.t1, g443.t1	g1640.t1, g3288.t1
OG0000119	g326.t1	g1823.t1, g2590.t1, g3367.t1
OG0000120	g339.t1	g2448.t1, g2992.t1, g501.t1
OG0000121	g340.t1, g451.t1	g1405.t1, g1919.t1
OG0000122	g384.t1	g1489.t1, g1903.t1, g2430.t1
OG0000123	g452.t1	g1276.t1, g128.t1, g1866.t1
OG0000124	g496.t1	g2670.t1, g2803.t1, g3262.t1
OG0000125		g1703.t1, g544.t1, g63.t1, g948.t1
OG0000126		g2236.t1, g302.t1, g434.t1, g66.t1
OG0000127		g105.t1, g1972.t1, g420.t1, g896.t1
OG0000128		g170.t1, g1941.t1, g3447.t1, g584.t1
OG0000129		g1209.t1, g1686.t1, g188.t1, g2088.t1
OG0000130		g1918.t1, g248.t1, g2956.t1, g3517.t1
